"id","parent_id","name_th","name_en","order_on","status","created_on","created_by","updated_on","updated_by"
"1","0","ประเภทอาหารคาว","Savory Food","1","Y","2019-02-11 22:03:05","-","0000-00-00 00:00:00","-"
"2","0","ประเภทอาหารหวาน","Sweet Food","2","Y","2019-02-11 22:03:05","-","0000-00-00 00:00:00","-"
"3","0","ประเภทเครื่องดื่ม","Beverage","3","Y","2019-02-11 22:03:05","-","0000-00-00 00:00:00","-"
"4","1","ก๋วยเตี๋ยว","Noodle","1","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"5","1","ของทอด","Fried","2","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"6","1","ข้าวแกง","Rice & Curry","3","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"7","1","ข้าวต้ม","Mush","4","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"8","1","เจ","Vetgetarien food","5","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"9","1","โจ๊ก","Rice porridge","6","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"10","1","ชาบู","Shabu","7","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"11","1","ซูชิ","Sushi","8","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"12","1","ติ่มซำ","Dim Sum","9","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"13","1","เบอร์เกอร์","Burger","10","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"14","1","ปิ้งย่าง","Grill","11","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"15","1","พิซซ่า","Pizza","12","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"16","1","ราเมง","Ramen","13","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"17","1","สเต็ก","Steak","14","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"18","1","ส้มตำ","Papaya salad","15","Y","2019-02-11 22:08:05","-","0000-00-00 00:00:00","-"
"19","1","สลัด","Salad","16","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"20","1","สุกี้","Suki","17","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"21","1","หม้อไฟ","Hot pot","18","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"22","1","หมูกระทะ","Thai barbecue","19","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"23","1","อาหารคลีน","Clean food","20","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"24","1","อาหารจานเดียว","Fast food","21","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"25","1","อาหารเช้า","Breakfast","22","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"26","1","อาหารตามสั่ง","Cooked to order","23","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"27","1","อาหารทะเล","Seafood","24","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"28","1","อาหารเที่ยง","Lunch","25","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"29","1","อาหารฟิวชั่น","Fusion food","26","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"30","1","อาหารมังสวิรัติ","Vetgetarien food","27","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"31","1","อาหารเย็น","Dining","28","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"32","1","อิซากายะ","Izakaya","29","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"33","1","โอมากาเสะ","Omagase","30","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"34","2","ของหวาน","Dessert","1","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"35","2","เค้ก","Cake","2","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"36","2","เบเกอรี่","Bakery","3","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"37","2","ไอศครีม","Ice-cream","4","Y","2019-02-11 22:08:06","-","0000-00-00 00:00:00","-"
"38","3","ชานมไข่มุก","Bubble milk tea","1","Y","2019-02-11 22:10:06","-","0000-00-00 00:00:00","-"
"39","3","น้ำผลไม้","Juice","2","Y","2019-02-11 22:10:06","-","0000-00-00 00:00:00","-"
"40","3","กาแฟ","Coffee","3","Y","2019-02-11 22:10:06","-","0000-00-00 00:00:00","-"
"41","3","ชา","Tea","4","Y","2019-02-11 22:10:07","-","0000-00-00 00:00:00","-"
"42","3","ไวน์","wine","5","Y","2019-02-11 22:10:07","-","0000-00-00 00:00:00","-"
"43","3","เหล้า / วิสกี้","Liquor / whiskey","6","Y","2019-02-11 22:10:07","-","0000-00-00 00:00:00","-"
