"id","name_th","name_en","status","created_on","created_by","updated_on","updated_by"
"0",,,"Y","2019-06-03 00:00:00","-","2019-06-03 00:00:00","-"
"1","กรุงเทพมหานคร","Bangkok","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"2","สมุทรปราการ","Samut Prakarn","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"3","นนทบุรี","Nonthaburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"4","ปทุมธานี","Pathum Thani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"5","พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"6","อ่างทอง","Ang Thong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"7","ลพบุรี","Lop Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"8","สิงห์บุรี","Sing Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"9","ชัยนาท","Chai Nat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"10","สระบุรี","Saraburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"11","ชลบุรี","Chon Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"12","ระยอง","Rayong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"13","จันทบุรี","Chanthaburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"14","ตราด","Trat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"15","ฉะเชิงเทรา","Chachoengsao","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"16","ปราจีนบุรี","Prachin Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"17","นครนายก","Nakhon Nayok","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"18","สระแก้ว","Sa kaeo","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"19","นครราชสีมา","Nakhon Ratchasima","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"20","บุรีรัมย์","Buri Ram","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"21","สุรินทร์","Surin","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"22","ศรีสะเกษ","Si Sa Ket","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"23","อุบลราชธานี","Ubon Ratchathani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"24","ยโสธร","Yasothon","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"25","ชัยภูมิ","Chaiyaphum","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"26","อำนาจเจริญ","Amnat Charoen","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"27","บึงกาฬ","Bueng Kan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"28","หนองบัวลำภู","Nong Bua Lam Phu","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"29","ขอนแก่น","Khon Kaen","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"30","อุดรธานี","Udon Thani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"31","เลย","Loei","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"32","หนองคาย","Nong Khai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"33","มหาสารคาม","Maha Sarakham","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"34","ร้อยเอ็ด","Roi Et","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"35","กาฬสินธุ์","Kalasin","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"36","สกลนคร","Sakon Nakhon","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"37","นครพนม","Nakhon Phanom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"38","มุกดาหาร","Mukdahan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"39","เชียงใหม่","Chiang Mai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"40","ลำพูน","Lamphun","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"41","ลำปาง","Lampang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"42","อุตรดิตถ์","Uttaradit","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"43","แพร่","Phrae","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"44","น่าน","Nan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"45","พะเยา","Phayao","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"46","เชียงราย","Chiang Rai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"47","แม่ฮ่องสอน","Mae Hong Son","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"48","นครสวรรค์","Nakhon Sawan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"49","อุทัยธานี","Uthai Thani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"50","กำแพงเพชร","Kamphaeng Phet","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"51","ตาก","Tak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"52","สุโขทัย","Sukhothai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"53","พิษณุโลก","Phitsanulok","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"54","พิจิตร","Phichit","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"55","เพชรบูรณ์","Phetchabun","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"56","ราชบุรี","Ratchaburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"57","กาญจนบุรี","Kanchanaburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"58","สุพรรณบุรี","Suphan Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"59","นครปฐม","Nakhon Pathom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"60","สมุทรสาคร","Samut Sakhon","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"61","สมุทรสงคราม","Samut Songkhram","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"62","เพชรบุรี","Phetchaburi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"63","ประจวบคีรีขันธ์","Prachuap Khiri Khan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"64","นครศรีธรรมราช","Nakhon Si Thammarat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"65","กระบี่","Krabi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"66","พังงา","Phang-nga","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"67","ภูเก็ต","Phuket","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"68","สุราษฎร์ธานี","Surat Thani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"69","ระนอง","Ranong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"70","ชุมพร","Chumphon","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"71","สงขลา","Songkhla","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"72","สตูล","Satun","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"73","ตรัง","Trang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"74","พัทลุง","Phatthalung","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"75","ปัตตานี","Pattani","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"76","ยะลา","Yala","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"77","นราธิวาส","Narathiwat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
