"id","parent_id","name_th","name_en","order_on","status","created_on","created_by","updated_on","updated_by"
"1","0","ใกล้บีทีเอส","Near BTS","1","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"2","0","ใกล้เอ็มอาร์ที","Near MRT","2","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"3","0","เขาใหญ่","Khao Yai","3","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"4","0","บึงกาฬ","Bueng Kan","4","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"5","0","ปริมณฑล","Perimeter","5","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"6","0","ปาย","Pai","6","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"7","0","ฝั่งธน","Bank","7","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"8","0","ภูทับเบิก","Phu Tubberk","8","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"9","0","แม่กลอง","Mae Klong river","9","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"10","0","เยาวราช","Yaowarat","10","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"11","0","สมุย","Samui","11","Y","2019-02-11 22:13:56","-","0000-00-00 00:00:00","-"
"12","0","สวนผึ้ง","Suan Phung","12","Y","2019-02-11 22:13:57","-","0000-00-00 00:00:00","-"
"13","0","สามย่าน","Sam Yan","13","Y","2019-02-11 22:13:57","-","0000-00-00 00:00:00","-"
"14","0","เสม็ด","Samet","14","Y","2019-02-11 22:13:57","-","0000-00-00 00:00:00","-"
"15","0","หัวหิน","Hua Hin","15","Y","2019-02-11 22:13:57","-","0000-00-00 00:00:00","-"
"16","0","อัมพวา","Amphawa","16","Y","2019-02-11 22:13:57","-","0000-00-00 00:00:00","-"
"17","1","หมอชิต","Mo Chit","1","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"18","1","สะพานควาย","Saphan Khwai","2","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"19","1","อารีย์","Ari","3","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"20","1","สนามเป้า","Sanam Pao","4","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"21","1","อนุสาวรีย์ชัยสมรภูมิ","Victory Monument","5","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"22","1","พญาไท","Phaya Thai","6","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"23","1","ราชเทวี","Ratchathewi","7","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"24","1","สยาม","Siam","8","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"25","1","ชิดลม","Chit Lom","9","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"26","1","เพลินจิต","Phloen Chit","10","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"27","1","นานา","Nana","11","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"28","1","อโศก","Asok","12","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
"29","1","พร้อมพงษ์","Phrom Phong","13","Y","2019-02-11 22:25:46","-","0000-00-00 00:00:00","-"
