"id","name_th","name_en","order_on","status","created_on","created_by","updated_on","updated_by"
"1","จำหน่ายไวน์","Sell wine","1","Y","2019-02-11 21:46:28","-","0000-00-00 00:00:00","-"
"2","ซื้อกลับบ้าน","Take home","2","Y","2019-02-11 21:46:28","-","0000-00-00 00:00:00","-"
"3","ดนตรีสด","Live music","3","Y","2019-02-11 21:46:28","-","0000-00-00 00:00:00","-"
"4","ถ่ายทอดสดกีฬา","Live sports","4","Y","2019-02-11 21:46:28","-","0000-00-00 00:00:00","-"
"5","บริการจัดส่ง","Delivery service","5","Y","2019-02-11 21:46:28","-","0000-00-00 00:00:00","-"
"6","บริการรับรถ","Valley parking","6","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"7","มิชลิน ไกด์","Michelin Guide","7","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"8","รับจองล่วงหน้า","Accept reservations in advance","8","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"9","รับจัดงานนอกสถานที่","Get off-site","9","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"10","ร้านในโรงแรม","Shop in the hotel","10","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"11","สัตว์เลี้ยงเข้าได้ ","Pet allowed","11","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"12","เสิร์ฟเครื่องดื่มแอลกอฮอล์","Serve alcohol","12","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"13","ห้อง VIP","VIP room","13","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
"14","ฟรี wifi","Free WIFI","14","Y","2019-02-11 21:46:29","-","0000-00-00 00:00:00","-"
