"id","district_id","name_th","name_en","status","created_on","created_by","updated_on","updated_by"
"1","1","พระบรมมหาราชวัง","Phra Borom Maha Ratchawang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"2","1","วังบูรพาภิรมย์","Wang Burapha Phirom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"3","1","วัดราชบพิธ","Wat Ratchabophit","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"4","1","สำราญราษฎร์","Samran Rat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"5","1","ศาลเจ้าพ่อเสือ","San Chaopho Suea","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"6","1","เสาชิงช้า","Sao Chingcha","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"7","1","บวรนิเวศ","Bowon Niwet","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"8","1","ตลาดยอด","Talat Yot","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"9","1","ชนะสงคราม","Chana Songkhram","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"10","1","บ้านพานถม","Ban Phan Thom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"11","1","บางขุนพรหม","Bang Khun Phrom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"12","1","วัดสามพระยา","Wat Sam Phraya","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"13","2","ดุสิต","Dusit","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"14","2","วชิรพยาบาล","Wachira Phayaban","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"15","2","สวนจิตรลดา","Suan Chit Lada","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"16","2","สี่แยกมหานาค","Si Yaek Maha Nak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"17","2","ถนนนครไชยศรี","Thanon Nakhon Chai Si","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"18","3","กระทุ่มราย","Krathum Rai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"19","3","หนองจอก","Nong Chok","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"20","3","คลองสิบ","Khlong Sip","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"21","3","คลองสิบสอง","Khlong Sip Song","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"22","3","โคกแฝด","Khok Faet","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"23","3","คู้ฝั่งเหนือ","Khu Fang Nuea","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"24","3","ลำผักชี","Lam Phak Chi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"25","3","ลำต้อยติ่ง","Lam Toiting","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"26","4","มหาพฤฒาราม","Maha Phruettharam","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"27","4","สีลม","Si Lom","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"28","4","สุริยวงศ์","Suriyawong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"29","4","บางรัก","Bang Rak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"30","4","สี่พระยา","Si Phraya","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"31","5","อนุสาวรีย์","Anusawari","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"32","5","ท่าแร้ง","Tha Raeng","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"33","6","คลองจั่น","Khlong Chan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"34","6","หัวหมาก","Hua Mak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"35","7","รองเมือง","Rong Mueang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"36","7","วังใหม่","Wang Mai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"37","7","ปทุมวัน","Pathum Wan","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"38","7","ลุมพินี","Lumphini","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"39","8","ป้อมปราบ","Pom Prap","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"40","8","วัดเทพศิรินทร์","Wat Thep Sirin","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"41","8","คลองมหานาค","Khlong Maha Nak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"42","8","บ้านบาตร","Ban Bat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"43","8","วัดโสมนัส","Wat Sommanat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"44","9","บางจาก","Bang Chak","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"45","10","มีนบุรี","Min Buri","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"46","10","แสนแสบ","Saen Saep","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"47","11","ลาดกระบัง","Lat Krabang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"48","11","คลองสองต้นนุ่น","Khlong Song Ton Nun","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"49","11","คลองสามประเวศ","Khlong Sam Prawet","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"50","11","ลำปลาทิว","Lam Pla Thio","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"51","11","ทับยาว","Thap Yao","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"52","11","ขุมทอง","Khum Thong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"53","12","ช่องนนทรี","Chong Nonsi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"54","12","บางโพงพาง","Bang Phongphang","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"55","13","จักรวรรดิ","Chakkrawat","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"56","13","สัมพันธวงศ์","Samphanthawong","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"57","13","ตลาดน้อย","Talat Noi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"58","14","สามเสนใน","Sam Sen Nai","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"59","15","วัดกัลยาณ์","Wat Kanlaya","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"60","15","หิรัญรูจี","Hiran Ruchi","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"61","15","บางยี่เรือ","Bang Yi Ruea","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
"62","15","บุคคโล","Bukkhalo","Y","0000-00-00 00:00:00","-","0000-00-00 00:00:00","-"
